,language,affix,meaning
463,ing,ttii,POS:verb|VOICE:pass|MOOD:ind|TENSE:past|
464,ing,taiz,POS:verb|VOICE:pass|MOOD:cond|
465,ing,täiz,POS:verb|VOICE:pass|MOOD:cond|
466,ing,ttaiz,POS:verb|VOICE:pass|MOOD:cond|
467,ing,ttäiz,POS:verb|VOICE:pass|MOOD:cond|
468,ing,takaa,POS:verb|VOICE:pass|MOOD:imp|
469,ing,täkää,POS:verb|VOICE:pass|MOOD:imp|
470,ing,ttakaa,POS:verb|VOICE:pass|MOOD:imp|
471,ing,ttäkää,POS:verb|VOICE:pass|MOOD:imp|
472,vot,j,POS:nomin|NUMB:pl|
473,vot,d,POS:nomin|CASE:nom|NUMB:pl|
474,vot,t,POS:nomin|NUMB:pl|
475,vot,t,POS:nomin|CASE:par|
476,vot,a,POS:nomin|CASE:par|
477,vot,ä,POS:nomin|CASE:par|
478,vot,sõ,POS:nomin|CASE:ill|
479,vot,se,POS:nomin|CASE:ill|
480,vot,hasõ,POS:nomin|CASE:ill|
481,vot,hosõ,POS:nomin|CASE:ill|
482,vot,hõsõ,POS:nomin|CASE:ill|
483,vot,häse,POS:nomin|CASE:ill|
484,vot,hese,POS:nomin|CASE:ill|
485,vot,z,POS:nomin|CASE:ines|
486,vot,za,POS:nomin|CASE:ines|
487,vot,ss,POS:nomin|CASE:elat|
488,vot,ssa,POS:nomin|CASE:elat|
489,vot,le,POS:nomin|CASE:alla|
490,vot,lõ,POS:nomin|CASE:alla|
491,vot,lle,POS:nomin|CASE:alla|
492,vot,llõ,POS:nomin|CASE:alla|
493,vot,l,POS:nomin|CASE:ades|
494,vot,ll,POS:nomin|CASE:ades|
495,vot,lla,POS:nomin|CASE:ades|
496,vot,lt,POS:nomin|CASE:abl|
497,vot,lta,POS:nomin|CASE:abl|
498,vot,ssi,POS:nomin|CASE:tran|
499,vot,na,POS:nomin|CASE:ess|
500,vot,nä,POS:nomin|CASE:ess|
501,vot,nna,POS:nomin|CASE:ess|
502,vot,nnä,POS:nomin|CASE:ess|
503,vot,ka,POS:nomin|CASE:com|
504,vot,ssa,POS:nomin|CASE:term|
505,vot,n,POS:verb|PERS:1|NUMB:sg|
506,vot,d,POS:verb|PERS:2|NUMB:sg|
507,vot,b,POS:verb|PERS:3|NUMB:sg|
508,vot,vad,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
509,vot,väd,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
510,vot,ta,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
511,vot,tä,POS:verb|TENSE:pres|PERS:3|NUMB:pl|
512,vot,isi,POS:verb|MOOD:cond|
513,vot,izi,POS:verb|MOOD:cond|
